INFO | 2018-03-31 12:57:23,321 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.FilterRegistrationBean | Mapping filter: 'concurrentSessionFilter' to: [/*]
INFO | 2018-03-31 12:57:23,321 | bootLogin | localhost-startStop-1 org.springframework.boot.web.servlet.ServletRegistrationBean | Mapping servlet: 'dispatcherServlet' to [/]
WARN | 2018-03-31 12:57:23,367 | bootLogin | restartedMain org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'customUsernamePasswordAuthenticationToken' defined in file [C:\Users\Administrator\git\cxgmAPP\cxgm-parent\cxgm-erp\target\classes\com\cxgmerp\security\login\CustomUsernamePasswordAuthenticationToken.class]: Unsatisfied dependency expressed through constructor parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'java.lang.String' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
INFO | 2018-03-31 12:57:23,371 | bootLogin | restartedMain org.apache.catalina.core.StandardService | Stopping service [Tomcat]
INFO | 2018-03-31 12:57:23,408 | bootLogin | restartedMain org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer | 

Error starting ApplicationContext. To display the auto-configuration report re-run your application with 'debug' enabled.
ERROR | 2018-03-31 12:57:23,706 | bootLogin | restartedMain org.springframework.boot.diagnostics.LoggingFailureAnalysisReporter | 

***************************
APPLICATION FAILED TO START
***************************

Description:

Parameter 0 of constructor in com.cxgmerp.security.login.CustomUsernamePasswordAuthenticationToken required a bean of type 'java.lang.String' that could not be found.


Action:

Consider defining a bean of type 'java.lang.String' in your configuration.

INFO | 2018-03-31 13:01:14,233 | bootLogin | restartedMain org.springframework.context.annotation.AnnotationConfigApplicationContext | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1d377ae8: startup date [Sat Mar 31 13:01:14 CST 2018]; root of context hierarchy
INFO | 2018-03-31 13:01:14,482 | bootLogin | restartedMain org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
INFO | 2018-03-31 13:01:14,499 | bootLogin | background-preinit org.hibernate.validator.internal.util.Version | HV000001: Hibernate Validator 5.3.6.Final
INFO | 2018-03-31 13:01:14,516 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f9018829] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-03-31 13:01:15,067 | bootLogin | restartedMain org.springframework.cloud.config.client.ConfigServicePropertySourceLocator | Fetching config from server at: http://localhost:8888
WARN | 2018-03-31 13:01:16,172 | bootLogin | restartedMain org.springframework.cloud.config.client.ConfigServicePropertySourceLocator | Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/application/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
INFO | 2018-03-31 13:01:16,182 | bootLogin | restartedMain com.cxgmerp.CxgmApplication | No active profile set, falling back to default profiles: default
INFO | 2018-03-31 13:01:16,224 | bootLogin | restartedMain org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext | Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@33afd8f6: startup date [Sat Mar 31 13:01:16 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@1d377ae8
WARN | 2018-03-31 13:01:17,348 | bootLogin | restartedMain org.mybatis.spring.mapper.ClassPathMapperScanner | No MyBatis mapper was found in '[com.cxgmerp.config, com.cxgmerp]' package. Please check your configuration.
INFO | 2018-03-31 13:01:17,382 | bootLogin | restartedMain org.springframework.data.repository.config.RepositoryConfigurationDelegate | Multiple Spring Data modules found, entering strict repository configuration mode!
WARN | 2018-03-31 13:01:17,597 | bootLogin | restartedMain org.springframework.context.annotation.ConfigurationClassPostProcessor | Cannot enhance @Configuration bean definition 'myBatisMapperScannerConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
INFO | 2018-03-31 13:01:17,791 | bootLogin | restartedMain org.springframework.cloud.context.scope.GenericScope | BeanFactory id=bba9941c-3f57-308f-9b61-cb93c6d2c9f3
INFO | 2018-03-31 13:01:17,808 | bootLogin | restartedMain org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
INFO | 2018-03-31 13:01:17,945 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$dce7852c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
