DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Migrating classmap in projectData to store in *.ser file: com/cxgm/ZuulApplication
DEBUG | 2018-03-23 15:58:37,177 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Assigned 4 counters for class:com/cxgm/ZuulApplication
DEBUG | 2018-03-23 15:58:37,186 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(1):L868964689 
DEBUG | 2018-03-23 15:58:37,186 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:1:L1370651081
DEBUG | 2018-03-23 15:58:37,186 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1370651081):null
DEBUG | 2018-03-23 15:58:37,186 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:1:L1370651081
DEBUG | 2018-03-23 15:58:37,186 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1370651081):null
DEBUG | 2018-03-23 15:58:37,186 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(3):L1095293768 
DEBUG | 2018-03-23 15:58:37,186 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:3:L1909546776
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1909546776):null
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:3:L1909546776
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1909546776):null
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(4):L1983025922 
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:4:L392781299
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L392781299):null
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:4:L392781299
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L392781299):null
DEBUG | 2018-03-23 15:58:37,187 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(6):L1579526446 
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:6:L1822383117
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1822383117):null
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:6:L1822383117
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1822383117):null
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(8):L1308109015 
